NO PANELS,INVERTER SIZE,INVERTER MODEL,PANELS TYPE,Package Name,Invoice Description,PACKAGE Type,Package Price,Nett Price After Discount,DC Cable,DC cable Distance (m),mc4 qty(PAIR),Mounting structure,AC Cable,AC cable  Distance (m),Breaker,PV METER,PVC DB BOX
54,25,1X [3P] SAJ R6 25KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 54PCS JINKO 650W,"54X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 25KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"87,800","66,350",Master Tec 6mm DC Cable,40,15,54,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
55,25,1X [3P] SAJ R6 25KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 55PCS JINKO 650W,"55X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 25KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"89,090","67,300",Master Tec 6mm DC Cable,40,15,55,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
56,30,1X [3P] SAJ R6 30KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 56PCS JINKO 650W,"56X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 30KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"92,780","70,720",Master Tec 6mm DC Cable,40,20,56,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
57,30,1X [3P] SAJ R6 30KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 57PCS JINKO 650W,"57X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 30KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"94,060","71,660",Master Tec 6mm DC Cable,40,20,57,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
58,30,1X [3P] SAJ R6 30KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 58PCS JINKO 650W,"58X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 30KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"95,350","72,600",Master Tec 6mm DC Cable,40,20,58,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
59,30,1X [3P] SAJ R6 30KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 59PCS JINKO 650W,"59X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 30KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"96,630","73,540",Master Tec 6mm DC Cable,40,20,59,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
60,30,1X [3P] SAJ R6 30KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 60PCS JINKO 650W,"60X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 30KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"97,910","74,490",Master Tec 6mm DC Cable,40,20,60,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
61,30,1X [3P] SAJ R6 30KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 61PCS JINKO 650W,"61X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 30KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"99,200","75,440",Master Tec 6mm DC Cable,40,20,61,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
62,30,1X [3P] SAJ R6 30KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 62PCS JINKO 650W,"62X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 30KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"100,480","76,370",Master Tec 6mm DC Cable,40,20,62,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
63,30,1X [3P] SAJ R6 30KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 63PCS JINKO 650W,"63X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 30KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"101,760","77,320",Master Tec 6mm DC Cable,40,20,63,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
64,30,1X [3P] SAJ R6 30KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 64PCS JINKO 650W,"64X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 30KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"103,040","78,260",Master Tec 6mm DC Cable,40,20,64,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
65,30,1X [3P] SAJ R6 30KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 65PCS JINKO 650W,"65X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 30KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"104,320","79,200",Master Tec 6mm DC Cable,40,20,65,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
66,30,1X [3P] SAJ R6 30KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 66PCS JINKO 650W,"66X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 30KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"105,610","80,140",Master Tec 6mm DC Cable,40,20,66,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
67,30,1X [3P] SAJ R6 30KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 67PCS JINKO 650W,"67X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 30KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"106,890","81,080",Master Tec 6mm DC Cable,40,20,67,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
68,40,1X [3P] SAJ R6 40KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 68PCS JINKO 650W,"68X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 40KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"109,630","83,530",Master Tec 6mm DC Cable,40,30,68,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,CHINT 3P 80A,Three Phase PV meter,30way
69,40,1X [3P] SAJ R6 40KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 69PCS JINKO 650W,"69X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 40KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"110,900","84,470",Master Tec 6mm DC Cable,40,30,69,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,CHINT 3P 80A,Three Phase PV meter,30way
70,40,1X [3P] SAJ R6 40KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 70PCS JINKO 650W,"70X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 40KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"112,180","85,410",Master Tec 6mm DC Cable,40,30,70,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,CHINT 3P 80A,Three Phase PV meter,30way
10,5,1X [3P] SAJ R6 5KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 10PCS ASTRONERGY 625W,"10X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"25,260","20,600",Master Tec 6mm DC Cable,40,10,10,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
11,5,1X [3P] SAJ R6 5KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 11PCS ASTRONERGY 625W,"11X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"26,470","21,550",Master Tec 6mm DC Cable,40,10,11,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
12,5,1X [3P] SAJ R6 5KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 12PCS ASTRONERGY 625W,"12X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"27,750","22,560",Master Tec 6mm DC Cable,40,10,12,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
13,6,1X [3P] SAJ R6 6KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 13PCS ASTRONERGY 625W,"13X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 6KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"28,960","23,510",Master Tec 6mm DC Cable,40,10,13,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
14,6,1X [3P] SAJ R6 6KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 14PCS ASTRONERGY 625W,"14X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 6KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"30,300","24,560",Master Tec 6mm DC Cable,40,10,14,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
15,8,1X [3P] SAJ R6 8KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 15PCS ASTRONERGY 625W,"15X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 8KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"31,520","25,520",Master Tec 6mm DC Cable,40,10,15,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
16,8,1X [3P] SAJ R6 8KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 16PCS ASTRONERGY 625W,"16X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 8KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"32,720","26,470",Master Tec 6mm DC Cable,40,10,16,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
17,8,1X [3P] SAJ R6 8KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 17PCS ASTRONERGY 625W,"17X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 8KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"33,920","27,420",Master Tec 6mm DC Cable,40,10,17,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
18,8,1X [3P] SAJ R6 8KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 18PCS ASTRONERGY 625W,"18X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 8KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"35,140","28,370",Master Tec 6mm DC Cable,40,10,18,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
19,10,1X [3P] SAJ R6 10KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 19PCS ASTRONERGY 625W,"19X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 10KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"36,480","29,140",Master Tec 6mm DC Cable,40,10,19,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
20,10,1X [3P] SAJ R6 10KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 20PCS ASTRONERGY 625W,"20X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 10KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"37,560","29,660",Master Tec 6mm DC Cable,40,10,20,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
21,10,1X [3P] SAJ R6 10KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 21PCS ASTRONERGY 625W,"21X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 10KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"38,770","30,300",Master Tec 6mm DC Cable,40,10,21,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
22,10,1X [3P] SAJ R6 10KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 22PCS ASTRONERGY 625W,"22X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 10KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"39,960","30,920",Master Tec 6mm DC Cable,40,10,22,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
23,12,1X [3P] SAJ R6 12KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 23PCS ASTRONERGY 625W,"23X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 12KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"41,280","31,610",Master Tec 6mm DC Cable,40,10,23,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
24,12,1X [3P] SAJ R6 12KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 24PCS ASTRONERGY 625W,"24X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 12KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"42,490","32,510",Master Tec 6mm DC Cable,40,10,24,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
25,12,1X [3P] SAJ R6 12KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 25PCS ASTRONERGY 625W,"25X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 12KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"43,680","33,390",Master Tec 6mm DC Cable,40,10,25,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
26,12,1X [3P] SAJ R6 12KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 26PCS ASTRONERGY 625W,"26X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 12KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"44,880","34,280",Master Tec 6mm DC Cable,40,10,26,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
27,12,1X [3P] SAJ R6 12KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 27PCS ASTRONERGY 625W,"27X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 12KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"46,070","35,190",Master Tec 6mm DC Cable,40,10,27,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
28,15,1X [3P] SAJ R6 15KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 28PCS ASTRONERGY 625W,"28X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 15KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"48,300","36,230",Master Tec 6mm DC Cable,40,15,28,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
29,15,1X [3P] SAJ R6 15KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 29PCS ASTRONERGY 625W,"29X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 15KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"50,000","37,050",Master Tec 6mm DC Cable,40,15,29,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
30,15,1X [3P] SAJ R6 15KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 30PCS ASTRONERGY 625W,"30X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 15KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"51,490","38,210",Master Tec 6mm DC Cable,40,15,30,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
31,15,1X [3P] SAJ R6 15KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 31PCS ASTRONERGY 625W,"31X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 15KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"52,680","39,070",Master Tec 6mm DC Cable,40,15,31,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
32,15,1X [3P] SAJ R6 15KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 32PCS ASTRONERGY 625W,"32X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 15KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"53,870","39,940",Master Tec 6mm DC Cable,40,15,32,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
33,15,1X [3P] SAJ R6 15KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 33PCS ASTRONERGY 625W,"33X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 15KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"55,060","40,800",Master Tec 6mm DC Cable,40,15,33,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
34,15,1X [3P] SAJ R6 15KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 34PCS ASTRONERGY 625W,"34X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 15KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"56,250","41,660",Master Tec 6mm DC Cable,40,15,34,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,14way
35,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 35PCS ASTRONERGY 625W,"35X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"58,020","43,080",Master Tec 6mm DC Cable,40,15,35,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
36,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 36PCS ASTRONERGY 625W,"36X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"59,200","43,930",Master Tec 6mm DC Cable,40,15,36,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
